作品,作品积分,年,月
荒诞守则,661168,2008,4
无界Online,320761,2008,7
魅影圣境,1042938,2008,7
[水晶之恋/波四]被秋风唤醒,656490,2008,10
夏如凡,2280760,2008,6
[综漫]醉红寥落,460994,2008,7
水月镜花,2235599,2008,9
艳与天齐,628486,2008,10
冥狩,2480302,2008,12
陨落人间（穿越攻）,115464,2008,6
重生之谢谢我的爱,411341,2008,6
bloodXblood[BL！],655134,2008,9
兽形,1329795,2008,5
醉卧红尘,106463,2008,5
"世外,桃源?",2162977,2008,7
宿醉,246719,2008,7
（月戬）灰色空间,1812598,2008,6
君子颜殇,573366,2008,11
顾影映紫台,1093479,2008,2
伤痕,244547,2008,7
（电影赤壁同人）千山血,246789,2008,7
王子与骑士,3609841,2008,11
夜雨血楼,2147370,2008,1
假凤虚凰,376988,2008,5
不堪盈手赠（宁王／正德）,153201,2008,9
星辰物语(网游同人),220613,2008,1
与我一生,200459,2008,4
冷风过(狼群同人）,276189,2008,7
青梅纪事,445666,2008,8
破碎梦想大道,1076115,2008,9
血祭柔情,193751,2008,6
终极一班同人：开始,85540,2008,4
夕阳斜下,264754,2008,7
红尘一壶酒色清,601037,2008,7
重生,271463,2008,9
Blood Game（血腥之戏 异形文）,234854,2008,12
无思大陆,71401,2008,4
亲亲宝贝,246033,2008,7
闲来垂钓,336598,2008,2
何日归家洗客袍,691615,2008,11
当清明遇上河图,156336,2008,3
鬼 zǐ   说,472633,2008,5
千年一刹那,329651,2008,8
爱后余生,103459,2008,8
说白了还是喜欢,888835,2008,10
叛瞳,240757,2008,12
阴谋（暂命名）,199073,2008,5
〖鼠猫〗当时明月在,208346,2008,5
花澈同人 执子之手,471941,2008,5
兄弟且相思,342862,2008,8
佛戒痕,756464,2008,10
蓝庭草,782201,2008,11
我的圣诞顾公公,657455,2008,12
锦绣麒麟,1289403,2008,4
＜花谢如雪乱十载＞片段合集,409304,2008,5
火影同人之恋狐,72147,2008,7
庆宫春,213938,2008,8
黑杀,843775,2008,1
凡光非译（兄弟情人）,4707252,2008,7
紫夜枫檀,344340,2008,6
逝爱,217496,2008,12
乱天灭世劫,100273,2008,2
彼垂善,232131,2008,5
星辰变后传酒神版,93799,2008,6
[樱 + 流]＿冰红茶,206067,2008,6
...,228682,2008,6
第一剑客,225072,2008,6
唐韶传,442060,2008,6
队长，二十万啊,781764,2008,7
花*******子,347090,2008,7
猎人之我是佐助,49210,2008,8
这麻烦的爱（强强）,420440,2008,9
苍天online,200355,2008,9
二郎神之异世为神[玄幻],1144129,2008,9
名人效应,360847,2008,10
死党！到死不说爱！,223251,2008,3
堕妖,148234,2008,5
重来的奇迹,120434,2008,7
[士兵突击]疼,72395,2008,7
北漠骄阳,194135,2008,7
揭示白十字,142982,2008,8
洛书-征日,648387,2008,9
黑水晶,1484469,2008,11
猎人同人——悠悠清流,61717,2008,3
于飞,1061189,2008,4
搞搞online,121499,2008,5
以coser之名（无限同人）,64514,2008,6
迷恋,1101207,2008,6
王子与黑马,432415,2008,6
镜匣尘生,395205,2008,7
网游纵横,119002,2008,8
道格拉斯没有牙,78643,2008,8
七汐,307519,2008,8
骑士精神之攻防战,1972627,2008,9
无法理解的爱,56667,2008,6
第一杀手,316168,2008,6
月潇然,250073,2008,1
异世问鼎,181814,2008,2
刑部轶事,415886,2008,2
你是恶魔、吸血鬼！,405571,2008,4
蓝染,268336,2008,5
恐怖主人狠毒奴,55843,2008,6
人生忽如寄,384118,2008,6
两茫茫(穿越),153073,2008,6
endlessrain,925503,2008,7
套牢,550185,2008,7
摘星计划,331609,2008,7
倾城,259831,2008,7
zs文集,776081,2008,7
网游异界,62733,2008,8
秋胡行,660076,2008,9
无限Ⅱ,427125,2008,11
残阳,238718,2008,3
赌约,246849,2008,4
[西方/伪科幻]死旅,287928,2008,5
妖颜之色,97053,2008,5
兵储,156701,2008,6
霸气凌云,885327,2008,6
爱情病毒,102801,2008,7
傲世天下,306414,2008,7
星落无垠,175907,2008,7
假面,635205,2008,7
文明的21禁精神,107016,2008,8
短篇集,766729,2008,11
同居的是小攻，还是小受,551008,2008,12
缇潆曦凌,79694,2008,8
煜碎,286153,2008,2
龙殇,257759,2008,5
得失之间（第一部 《江湖·恩怨·仇》）,899941,2008,6
离梦踯躅,374383,2008,7
[无限]怎么办，看你不爽呢,47471,2008,7
繁花,177378,2008,7
完美男妻,57684,2008,7
荣誉杀戮,1126092,2008,8
Just wanna B with U,176561,2008,9
云夕,453651,2008,9
青鳞,139798,2008,9
暗夜伏晨,361649,2008,9
天下——七国,45802,2008,9
